n;Network;Hub;Non.Hub;;PM;NM;NS;
 ; ; ;IAA; ;BES1BZR2; ; ;
 ; ; ;PIN; ; ; ; ;
 ; ; ;SCFTir1; ; ; ; ;
 ; ; ;Elongation; ; ; ; ;
 ; ; ;BR; ; ; ; ;
 ; ; ;BRI1BAK1; ; ; ; ;
 ; ; ;BIN2; ; ; ; ;
 ; ; ;BES1BZR2; ; ; ; ;
 ; ; ;BZR1; ; ; ; ;
 ; ; ;BRREs; ; ; ; ;
 ; ; ;BRBiosynthesis; ; ; ; ;
 ; ; ;StimAux; ; ; ; ;
 ; ; ;StimBR; ; ; ; ;
 ; ; ; ; ; ; ; ;
30;Siegle2018; ;Wnt; ;GSK3b;axin;Wnt;
 ; ; ;axin; ;DC;Rho;TCF;
 ; ; ;GSK3b; ;bcatenin;Rac;FoxO;
 ; ; ;DC; ;Akt;PKC;MEKK1;
 ; ; ;bcatenin; ;TSC2;PI3K;JNK;
 ; ; ;TCF; ;Raf;mTORC2;IGF;
 ; ; ;FoxO; ;ERK; ;IRS;
 ; ; ;Rho; ; ; ;mTORC1;
 ; ; ;Rac; ; ; ;S6K;
 ; ; ;MEKK1; ; ; ;Ras;
 ; ; ;JNK; ; ; ; ;
 ; ; ;PKC; ; ; ; ;
 ; ; ;IGF; ; ; ; ;
 ; ; ;IRS; ; ; ; ;
 ; ; ;PI3K; ; ; ; ;
 ; ; ;Akt; ; ; ; ;
 ; ; ;TSC2; ; ; ; ;
 ; ; ;mTORC1; ; ; ; ;
 ; ; ;S6K; ; ; ; ;
 ; ; ;Ras; ; ; ; ;
 ; ; ;Raf; ; ; ; ;
 ; ; ;ERK; ; ; ; ;
 ; ; ;mTORC2; ; ; ; ;
 ; ; ; ; ; ; ; ;
31;Sridharan2012;ROS;Stress; ;Ras;ROS;Stress;
 ; ; ;Ras; ;PTEN;p53;Bach1;
 ; ; ;PTEN; ;ATM;Mdm2;PKC;
 ; ; ;ATM; ;PIP3;Bad;GSK3b;
 ; ; ;Bach1; ;PI3K;ARE;Bcl2;
 ; ; ;PKC; ;PIP2;Nrf2;Keap1;
 ; ; ;PIP3; ;Akt; ; ;
 ; ; ;PI3K; ; ; ; ;
 ; ; ;PIP2; ; ; ; ;
 ; ; ;Akt; ; ; ; ;
 ; ; ;GSK3b; ; ; ; ;
 ; ; ;p53; ; ; ; ;
 ; ; ;Mdm2; ; ; ; ;
 ; ; ;Bad; ; ; ; ;
 ; ; ;Bcl2; ; ; ; ;
 ; ; ;Keap1; ; ; ; ;
 ; ; ;ARE; ; ; ; ;
 ; ; ;Nrf2; ; ; ; ;
 ; ; ; ; ; ; ; ;
32;Sun2014; ;pmar1; ;pmar1;hesC;gcm;
 ; ; ;hesC; ;delta;ets1;hox11_13b;
 ; ; ;delta; ;aNotch;alx1; ;
 ; ; ;ets1; ; ; ; ;
 ; ; ;alx1; ; ; ; ;
 ; ; ;gcm; ; ; ; ;
 ; ; ;aNotch; ; ; ; ;
 ; ; ;hox11_13b; ; ; ; ;
 ; ; ; ; ; ; ; ;
33;Thakar2012;Bb;NE; ;BC;IgG;NE;
 ; ; ;DP; ;DCI;IFNgI;DP;
 ; ; ;IL12I; ;Th2II;IFNgII;IL12I;
 ; ; ;IgG; ;IL4I;MPI;Th1I;
 ; ; ;Th1I; ;Th1II;IL12II;Oag;
 ; ; ;BC; ;PH;T0;TTSSII;
 ; ; ;DCI; ;PIC;IL4II;Th2I;
 ; ; ;Oag; ;IL10I;AP;IL10II;
 ; ; ;IFNgI; ;DCII;Bb;AgAb;
 ; ; ;TTSSII; ;TrII; ;IgA;
 ; ; ;IFNgII; ;TrI; ;EC;
 ; ; ;MPI; ;TTSSI; ;C;
 ; ; ;Th2II; ; ; ; ;
 ; ; ;Th2I; ; ; ; ;
 ; ; ;IL4I; ; ; ; ;
 ; ; ;IL12II; ; ; ; ;
 ; ; ;IL10II; ; ; ; ;
 ; ; ;Th1II; ; ; ; ;
 ; ; ;AgAb; ; ; ; ;
 ; ; ;PH; ; ; ; ;
 ; ; ;T0; ; ; ; ;
 ; ; ;PIC; ; ; ; ;
 ; ; ;IL10I; ; ; ; ;
 ; ; ;IL4II; ; ; ; ;
 ; ; ;DCII; ; ; ; ;
 ; ; ;TrII; ; ; ; ;
 ; ; ;AP; ; ; ; ;
 ; ; ;IgA; ; ; ; ;
 ; ; ;TrI; ; ; ; ;
 ; ; ;TTSSI; ; ; ; ;
 ; ; ;EC; ; ; ; ;
 ; ; ;C; ; ; ; ;
 ; ; ; ; ; ; ; ;
34;Todd2012;Clb2;SpindleCP; ;SMBF;FEAR;SpindleCP;
 ; ; ;Size; ;Yhp1;Cln2;Size;
 ; ; ;BuddingCP; ;Whi5;Cln3;BuddingCP;
 ; ; ;Start; ; ;Cdc20;Start;
 ; ; ;SMBF; ; ;MEN;Sic1;
 ; ; ;Sic1; ; ;Clb2;Clb5;
 ; ; ;Clb5; ; ;Cdc14;Swe1;
 ; ; ;Yhp1; ; ; ;SFF;
 ; ; ;FEAR; ; ; ;Swi5;
 ; ; ;Cln2; ; ; ;Cdh1;
 ; ; ;Whi5; ; ; ; ;
 ; ; ;Swe1; ; ; ; ;
 ; ; ;Cln3; ; ; ; ;
 ; ; ;Cdc20; ; ; ; ;
 ; ; ;MEN; ; ; ; ;
 ; ; ;SFF; ; ; ; ;
 ; ; ;Swi5; ; ; ; ;
 ; ; ;Cdh1; ; ; ; ;
 ; ; ;Cdc14; ; ; ; ;
 ; ; ; ; ; ; ; ;
35;Yousefi2013; ;WNT5A; ;S100P;WNT5A;pirin;
 ; ; ;pirin; ;RET1;MMP3;MART1;
 ; ; ;S100P; ; ;PHOC;HADHB;
 ; ; ;RET1; ; ;synuclein; ;
 ; ; ;MMP3; ; ;STC2; ;
 ; ; ;PHOC; ; ; ; ;
 ; ; ;MART1; ; ; ; ;
 ; ; ;HADHB; ; ; ; ;
 ; ; ;synuclein; ; ; ; ;
 ; ; ;STC2; ; ; ; ;
 ; ; ; ; ; ; ; ;
