n;Network;Hub;Non.Hub;;PM;NM;NS;
 ; ; ;TFL1; ; ; ; ;
 ; ; ;WUS; ; ; ; ;
 ; ; ;UFO; ; ; ; ;
 ; ; ; ; ; ; ; ;
7;Enciso2016; ;BcateninH; ;FoxO3aH;CXCR4H;BcateninH;
 ; ; ;CXCR4H; ;GSK3BH;NfkBH;CXCR7H;
 ; ; ;CXCR7H; ;CXCL12M;PI3KAktH;ERKH;
 ; ; ;ERKH; ;ROSM;BcateninM;Gfi1H;
 ; ; ;FoxO3aH; ;PI3KAktM;FoxO3aM;ROSH;
 ; ; ;Gfi1H; ;IL1;NfkBM;TLRH;
 ; ; ;GSK3BH; ;GCSF;VCAM1M;VLA4H;
 ; ; ;NfkBH; ; ; ;Cx43M;
 ; ; ;PI3KAktH; ; ; ;ERKM;
 ; ; ;ROSH; ; ; ;GSK3BM;
 ; ; ;TLRH; ; ; ;TLRM;
 ; ; ;VLA4H; ; ; ;lTLR;
 ; ; ;Cx43M; ; ; ; ;
 ; ; ;BcateninM; ; ; ; ;
 ; ; ;CXCL12M; ; ; ; ;
 ; ; ;ERKM; ; ; ; ;
 ; ; ;FoxO3aM; ; ; ; ;
 ; ; ;GSK3BM; ; ; ; ;
 ; ; ;NfkBM; ; ; ; ;
 ; ; ;ROSM; ; ; ; ;
 ; ; ;PI3KAktM; ; ; ; ;
 ; ; ;TLRM; ; ; ; ;
 ; ; ;VCAM1M; ; ; ; ;
 ; ; ;lTLR; ; ; ; ;
 ; ; ;IL1; ; ; ; ;
 ; ; ;GCSF; ; ; ; ;
 ; ; ; ; ; ; ; ;
8;Faure2006; ;CycD; ;Cdc20;Rb;CycD;
 ; ; ;Rb; ;Cdh1;E2F;CycE;
 ; ; ;E2F; ; ;p27;CycA;
 ; ; ;CycE; ; ;CycB;UbcH10;
 ; ; ;CycA; ; ; ; ;
 ; ; ;p27; ; ; ; ;
 ; ; ;Cdc20; ; ; ; ;
 ; ; ;Cdh1; ; ; ; ;
 ; ; ;UbcH10; ; ; ; ;
 ; ; ;CycB; ; ; ; ;
 ; ; ; ; ; ; ; ;
9;Garcia-Gomez2017_ARF10groesserARF5;SHR;CK; ;AUXIAA;CK;ARF10;
 ; ; ;ARR1; ;ARF;ARR1;ARF5;
 ; ; ;SHY2; ;AUX;SHY2;SCR;
 ; ; ;AUXIAA; ;MIR166;SHR;MGP;
 ; ; ;ARF; ;PHB;JKD;CLE40;
 ; ; ;ARF10; ; ;WOX5; ;
 ; ; ;ARF5; ; ; ; ;
 ; ; ;AUX; ; ; ; ;
 ; ; ;SCR; ; ; ; ;
 ; ; ;MIR166; ; ; ; ;
 ; ; ;PHB; ; ; ; ;
 ; ; ;JKD; ; ; ; ;
 ; ; ;MGP; ; ; ; ;
 ; ; ;WOX5; ; ; ; ;
 ; ; ;CLE40; ; ; ; ;
 ; ; ; ; ; ; ; ;
10;Giacomantonio2010; ;Fgf8; ;Fgf8;Emx2;Pax6;
 ; ; ;Emx2; ;Sp8;Coup_tfi; ;
 ; ; ;Pax6; ; ; ; ;
 ; ; ;Sp8; ; ; ; ;
 ; ; ;Coup_tfi; ; ; ; ;
 ; ; ; ; ; ; ; ;
11;Gupta2007; ;tyrosinehydroxylase; ;dopaminereceptor2;dopamine;tyrosinehydroxylase;
 ; ; ;dopamine; ;adenylatecyclase;dopaminereceptor1;COMT;
 ; ; ;COMT; ;packagingproteins;proteinkinaseA;phospholipaseC;
 ; ; ;dopaminereceptor1; ; ;Calcium;Calcineurin;
 ; ; ;dopaminereceptor2; ; ;DARPP32;proteinphosphatase1;
 ; ; ;adenylatecyclase; ; ;glutamatereceptor;glutamate;
 ; ; ;proteinkinaseA; ; ; ;exocytosis;
 ; ; ;phospholipaseC; ; ; ; ;
 ; ; ;Calcium; ; ; ; ;
 ; ; ;Calcineurin; ; ; ; ;
 ; ; ;DARPP32; ; ; ; ;
 ; ; ;proteinphosphatase1; ; ; ; ;
 ; ; ;glutamate; ; ; ; ;
 ; ; ;glutamatereceptor; ; ; ; ;
 ; ; ;packagingproteins; ; ; ; ;
 ; ; ;exocytosis; ; ; ; ;
 ; ; ; ; ; ; ; ;
12;Herrmann2012; ;Bmp2; ;canWnt;Nkx25;Bmp2;
 ; ; ;canWnt; ;Foxc12;Tbx1;Dkk1;
 ; ; ;Dkk1; ;Mesp1;Tbx5;Fgf8;
 ; ; ;Fgf8; ;exogenBMP2II; ;GATAs;
 ; ; ;Foxc12; ;exogenCanWntII; ;IsI1;
 ; ; ;GATAs; ; ; ;exogenBMP2I;
 ; ; ;IsI1; ; ; ;exogenCanWntI;
 ; ; ;Mesp1; ; ; ; ;
 ; ; ;Nkx25; ; ; ; ;
 ; ; ;Tbx1; ; ; ; ;
 ; ; ;Tbx5; ; ; ; ;
 ; ; ;exogenBMP2I; ; ; ; ;
 ; ; ;exogenBMP2II; ; ; ; ;
 ; ; ;exogenCanWntI; ; ; ; ;
 ; ; ;exogenCanWntII; ; ; ; ;
 ; ; ; ; ; ; ; ;
13;Irons2009;Clb2;Cln3; ;SMBF;Cln2;Cln3;
 ; ; ;SMBF; ;Yhp1;Clb2;Clb5;
 ; ; ;Cln2; ;Cdc20;SFF;FEAR;
 ; ; ;Clb5; ;Cdc14;CKI;MEN;
 ; ; ;Yhp1; ;M;B;Swi5;
 ; ; ;SFF; ;CD; ;Cdh1;
 ; ; ;Cdc20; ; ; ;S;
 ; ; ;FEAR; ; ; ; ;
 ; ; ;MEN; ; ; ; ;
 ; ; ;Cdc14; ; ; ; ;
 ; ; ;Swi5; ; ; ; ;
 ; ; ;CKI; ; ; ; ;
 ; ; ;Cdh1; ; ; ; ;
