"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"117"," ","FoxO3aH","GSK3BH"," ","CXCL12M","PI3KAktH","ERKH"
"118"," ","Gfi1H","TLRH"," ","ROSM","BcateninM","Gfi1H"
"119"," ","NfkBH","VLA4H"," ","PI3KAktM","FoxO3aM","ROSH"
"120"," ","PI3KAktH","Cx43M"," ","IL1","NfkBM","TLRH"
"121"," ","ROSH","ERKM"," ","GCSF","VCAM1M","VLA4H"
"122"," ","BcateninM","GSK3BM"," "," "," ","Cx43M"
"123"," ","CXCL12M","TLRM"," "," "," ","ERKM"
"124"," ","FoxO3aM","VCAM1M"," "," "," ","GSK3BM"
"125"," ","NfkBM","lTLR"," "," "," ","TLRM"
"126"," ","ROSM"," "," "," "," ","lTLR"
"127"," ","PI3KAktM"," "," "," "," "," "
"128"," ","IL1"," "," "," "," "," "
"129"," ","GCSF"," "," "," "," "," "
"130"," "," "," "," "," "," "," "
"131","Faure2006","Rb","CycD"," ","Cdc20","Rb","CycD"
"132"," ","E2F","CycE"," ","Cdh1","E2F","CycE"
"133"," ","CycA","Cdc20"," ","CycB","p27","CycA"
"134"," ","p27"," "," "," "," ","UbcH10"
"135"," ","Cdh1"," "," "," "," "," "
"136"," ","UbcH10"," "," "," "," "," "
"137"," ","CycB"," "," "," "," "," "
"138"," "," "," "," "," "," "," "
"139","Garcia-Gomez2017_ARF10groesserARF5","SCR","CK"," ","AUXIAA","CK","ARF10"
"140"," ","SHR","ARR1"," ","ARF","ARR1","ARF5"
"141"," ","WOX5","SHY2"," ","AUX","SHY2","SCR"
"142"," "," ","AUXIAA"," ","MIR166","SHR","MGP"
"143"," "," ","ARF"," ","PHB","JKD","CLE40"
"144"," "," ","ARF10"," "," ","WOX5"," "
"145"," "," ","ARF5"," "," "," "," "
"146"," "," ","AUX"," "," "," "," "
"147"," "," ","MIR166"," "," "," "," "
"148"," "," ","PHB"," "," "," "," "
"149"," "," ","JKD"," "," "," "," "
"150"," "," ","MGP"," "," "," "," "
"151"," "," ","CLE40"," "," "," "," "
"152"," "," "," "," "," "," "," "
"153","Giacomantonio2010","Fgf8","Pax6"," ","Sp8","Fgf8","Pax6"
"154"," ","Emx2","Coup_tfi"," "," ","Emx2"," "
"155"," ","Sp8"," "," "," ","Coup_tfi"," "
"156"," "," "," "," "," "," "," "
"157","Gupta2007"," ","tyrosinehydroxylase"," ","dopaminereceptor2","dopamine","tyrosinehydroxylase"
"158"," "," ","dopamine"," ","adenylatecyclase","dopaminereceptor1","COMT"
"159"," "," ","COMT"," ","packagingproteins","proteinkinaseA","phospholipaseC"
"160"," "," ","dopaminereceptor1"," "," ","Calcium","Calcineurin"
"161"," "," ","dopaminereceptor2"," "," ","DARPP32","proteinphosphatase1"
"162"," "," ","adenylatecyclase"," "," ","glutamatereceptor","glutamate"
"163"," "," ","proteinkinaseA"," "," "," ","exocytosis"
"164"," "," ","phospholipaseC"," "," "," "," "
"165"," "," ","Calcium"," "," "," "," "
"166"," "," ","Calcineurin"," "," "," "," "
"167"," "," ","DARPP32"," "," "," "," "
"168"," "," ","proteinphosphatase1"," "," "," "," "
"169"," "," ","glutamate"," "," "," "," "
"170"," "," ","glutamatereceptor"," "," "," "," "
"171"," "," ","packagingproteins"," "," "," "," "
"172"," "," ","exocytosis"," "," "," "," "
"173"," "," "," "," "," "," "," "
"174","Herrmann2012","canWnt","Bmp2"," ","canWnt","Nkx25","Bmp2"
"175"," ","IsI1","Dkk1"," ","Foxc12","Tbx1","Dkk1"
"176"," ","Mesp1","Fgf8"," ","Mesp1","Tbx5","Fgf8"
"177"," ","Nkx25","Foxc12"," ","exogenBMP2II"," ","GATAs"
"178"," ","Tbx5","GATAs"," ","exogenCanWntII"," ","IsI1"
"179"," "," ","Tbx1"," "," "," ","exogenBMP2I"
"180"," "," ","exogenBMP2I"," "," "," ","exogenCanWntI"
"181"," "," ","exogenBMP2II"," "," "," "," "
"182"," "," ","exogenCanWntI"," "," "," "," "
"183"," "," ","exogenCanWntII"," "," "," "," "
"184"," "," "," "," "," "," "," "
"185","Irons2009","SMBF","Cln3"," ","SMBF","Clb2","Cln3"
"186"," ","Clb5","Cln2"," ","Yhp1","SFF","Cln2"
"187"," ","Clb2","Yhp1"," ","Cdc20","CKI","Clb5"
"188"," ","SFF","FEAR"," ","Cdc14","B","FEAR"
"189"," ","Cdc20","MEN"," ","M","CD","MEN"
"190"," ","Cdc14","Swi5"," "," "," ","Swi5"
"191"," ","CKI"," "," "," "," ","Cdh1"
"192"," ","Cdh1"," "," "," "," ","S"
"193"," ","S"," "," "," "," "," "
"194"," ","B"," "," "," "," "," "
"195"," ","M"," "," "," "," "," "
"196"," ","CD"," "," "," "," "," "
"197"," "," "," "," "," "," "," "
"198","Klamt2006","ZAP70","CD45"," ","IKKbeta","Jun","CD45"
"199"," ","Lck","CD8"," ","Rsk","SLP76","CD8"
"200"," ","PLCgact","TCRlig"," ","LAT","TCRbind","TCRlig"
"201"," "," ","Jun"," ","DAG","cCbl","Nfkb"
"202"," "," ","Nfkb"," ","Calcin","ZAP70","Rlk"
"203"," "," ","IKKbeta"," ","Gads","Lck","AP1"
"204"," "," ","Rsk"," ","Raf","PLCgact","NFAT"
"205"," "," ","Rlk"," ","IP3"," ","CRE"
"206"," "," ","SLP76"," ","JNK"," ","Fyn"
"207"," "," ","TCRbind"," ","CREB"," ","Fos"
"208"," "," ","LAT"," ","Ras"," ","Itk"
"209"," "," ","DAG"," ","PKCth"," ","RasGRP1"
"210"," "," ","AP1"," ","ERK"," ","TCRphos"
"211"," "," ","Calcin"," ","MEK"," ","PLCgbind"
"212"," "," ","NFAT"," ","Ca"," ","PAGCsk"
"213"," "," ","Gads"," ","SEK"," ","Grb2Sos"
"214"," "," ","Raf"," ","IkB"," "," "
"215"," "," ","cCbl"," "," "," "," "
"216"," "," ","IP3"," "," "," "," "
"217"," "," ","CRE"," "," "," "," "
"218"," "," ","Fyn"," "," "," "," "
"219"," "," ","Fos"," "," "," "," "
"220"," "," ","JNK"," "," "," "," "
"221"," "," ","CREB"," "," "," "," "
"222"," "," ","Ras"," "," "," "," "
"223"," "," ","PKCth"," "," "," "," "
"224"," "," ","ERK"," "," "," "," "
"225"," "," ","Itk"," "," "," "," "
"226"," "," ","MEK"," "," "," "," "
"227"," "," ","RasGRP1"," "," "," "," "
"228"," "," ","Ca"," "," "," "," "
"229"," "," ","SEK"," "," "," "," "
"230"," "," ","TCRphos"," "," "," "," "
"231"," "," ","PLCgbind"," "," "," "," "
"232"," "," ","PAGCsk"," "," "," "," "
"233"," "," ","Grb2Sos"," "," "," "," "
"234"," "," ","IkB"," "," "," "," "
"235"," "," "," "," "," "," "," "
"236","Krumsiek2011","GATA2","FOG1"," ","GATA2","GATA1","FOG1"
"237"," ","GATA1","EKLF"," ","Fli1","EgrNab","EKLF"
"238"," ","CEBPa","Fli1"," ","CEBPa"," ","SCL"
"239"," ","PU1","SCL"," ","PU1"," ","cJun"
"240"," "," ","cJun"," ","Gfi1"," "," "
"241"," "," ","EgrNab"," "," "," "," "
"242"," "," ","Gfi1"," "," "," "," "
"243"," "," "," "," "," "," "," "
"244","MacLean2010"," ","GacSGacA"," "," ","GacSGacA","HrpV"
"245"," "," ","RpoN"," "," ","RpoN","HrpG"
"246"," "," ","HrpRS"," "," ","HrpRS"," "
"247"," "," ","HrpV"," "," ","HrpA"," "
"248"," "," ","HrpA"," "," ","HrpL"," "
"249"," "," ","HrpG"," "," "," "," "
"250"," "," ","HrpL"," "," "," "," "
"251"," "," "," "," "," "," "," "
"252","Marques-Pita2013","nhh","nWG"," ","nWG","nhh","WG"
"253"," ","wg","SLP"," ","SLP","wg","HH"
"254"," ","PTC","WG"," ","en","PTC","PH"
"255"," ","CIR","en"," ","EN","CI","SMO"
"256"," "," ","EN"," ","hh","CIA"," "
"257"," "," ","hh"," ","ptc","CIR"," "
"258"," "," ","HH"," ","ci"," "," "
"259"," "," ","ptc"," "," "," "," "
"260"," "," ","PH"," "," "," "," "
"261"," "," ","SMO"," "," "," "," "
"262"," "," ","ci"," "," "," "," "
"263"," "," ","CI"," "," "," "," "
"264"," "," ","CIA"," "," "," "," "
"265"," "," "," "," "," "," "," "
"266","Martinez-Sanchez2015","TBET"," "," ","TBET","IFNG","RORGT"
"267"," ","IFNG"," "," ","IL2","GATA3","IL10"
"268"," ","GATA3"," "," ","TGFB","IL4","BCL6"
"269"," ","IL2"," "," "," ","IL21","IL9"
"270"," ","IL4"," "," "," ","FOXP3"," "
"271"," ","RORGT"," "," "," "," "," "
"272"," ","IL21"," "," "," "," "," "
"273"," ","FOXP3"," "," "," "," "," "
"274"," ","TGFB"," "," "," "," "," "
"275"," ","IL10"," "," "," "," "," "
"276"," ","BCL6"," "," "," "," "," "
"277"," ","IL9"," "," "," "," "," "
"278"," "," "," "," "," "," "," "
"279","Mendez2016","Irf4","CD40L"," ","CD40L","Irf4","Ag"
"280"," ","Bcl6","IL4"," ","IL4","Blimp1","IL2"
"281"," ","Blimp1","Ag"," ","IL2R","Pax5","IL21"
"282"," ","Pax5","IL2"," ","BCR","NFkB","XBP1"
"283"," "," ","IL21"," ","ERK"," ","STAT5"
"284"," "," ","IL2R"," ","CD40"," ","Bach2"
"285"," "," ","XBP1"," ","STAT3"," ","Bcl6"
"286"," "," ","STAT5"," ","IL4R"," ","STAT6"
"287"," "," ","BCR"," ","IL21R"," ","AID"
"288"," "," ","Bach2"," "," "," "," "
"289"," "," ","ERK"," "," "," "," "
"290"," "," ","STAT6"," "," "," "," "
"291"," "," ","CD40"," "," "," "," "
"292"," "," ","STAT3"," "," "," "," "
"293"," "," ","IL4R"," "," "," "," "
"294"," "," ","IL21R"," "," "," "," "
"295"," "," ","AID"," "," "," "," "
"296"," "," ","NFkB"," "," "," "," "
"297"," "," "," "," "," "," "," "
"298","Mendez-Lopez2017","Snai2","TELase"," ","ESE2","Snai2","Cyclin"
"299"," ","ESE2","Rb"," ","p16","NFkB","TELase"
"300"," ","NFkB"," "," "," ","p53","Rb"
"301"," ","p16"," "," "," "," ","E2F"
"302"," ","p53"," "," "," "," "," "
"303"," ","Cyclin"," "," "," "," "," "
"304"," ","E2F"," "," "," "," "," "
"305"," "," "," "," "," "," "," "
