"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"513"," "," ","Th1II"," "," "," "," "
"514"," "," ","AgAb"," "," "," "," "
"515"," "," ","PH"," "," "," "," "
"516"," "," ","TrII"," "," "," "," "
"517"," "," ","TrI"," "," "," "," "
"518"," "," ","EC"," "," "," "," "
"519"," "," ","C"," "," "," "," "
"520"," "," "," "," "," "," "," "
"521","Todd2012","Sic1","SpindleCP"," ","SMBF","FEAR","SpindleCP"
"522"," ","Cdc20","Size"," ","Yhp1","Cln2","Size"
"523"," ","Clb2","BuddingCP"," ","Whi5","Cln3","BuddingCP"
"524"," ","Swi5","Start"," "," ","Cdc20","Start"
"525"," "," ","SMBF"," "," ","MEN","Sic1"
"526"," "," ","Clb5"," "," ","Clb2","Clb5"
"527"," "," ","Yhp1"," "," ","Cdc14","Swe1"
"528"," "," ","FEAR"," "," "," ","SFF"
"529"," "," ","Cln2"," "," "," ","Swi5"
"530"," "," ","Whi5"," "," "," ","Cdh1"
"531"," "," ","Swe1"," "," "," "," "
"532"," "," ","Cln3"," "," "," "," "
"533"," "," ","MEN"," "," "," "," "
"534"," "," ","SFF"," "," "," "," "
"535"," "," ","Cdh1"," "," "," "," "
"536"," "," ","Cdc14"," "," "," "," "
"537"," "," "," "," "," "," "," "
"538","Yousefi2013","WNT5A","pirin"," ","S100P","WNT5A","pirin"
"539"," ","RET1","S100P"," "," ","RET1","MART1"
"540"," ","synuclein","MMP3"," "," ","MMP3","HADHB"
"541"," "," ","PHOC"," "," ","PHOC"," "
"542"," "," ","MART1"," "," ","synuclein"," "
"543"," "," ","HADHB"," "," ","STC2"," "
"544"," "," ","STC2"," "," "," "," "
"545"," "," "," "," "," "," "," "
