"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"530"," "," ","AuxREs"," ","BIN2"," ","StimBR"
"531"," "," ","IAA"," ","BES1BZR2"," "," "
"532"," "," ","PIN"," "," "," "," "
"533"," "," ","SCFTir1"," "," "," "," "
"534"," "," ","Elongation"," "," "," "," "
"535"," "," ","BR"," "," "," "," "
"536"," "," ","BRI1BAK1"," "," "," "," "
"537"," "," ","BIN2"," "," "," "," "
"538"," "," ","BES1BZR2"," "," "," "," "
"539"," "," ","BZR1"," "," "," "," "
"540"," "," ","BRREs"," "," "," "," "
"541"," "," ","BRBiosynthesis"," "," "," "," "
"542"," "," ","StimAux"," "," "," "," "
"543"," "," ","StimBR"," "," "," "," "
"544"," "," "," "," "," "," "," "
"545","Siegle2018"," ","Wnt"," ","GSK3b","axin","Wnt"
"546"," "," ","axin"," ","DC","Rho","TCF"
"547"," "," ","GSK3b"," ","bcatenin","Rac","FoxO"
"548"," "," ","DC"," ","Akt","PKC","MEKK1"
"549"," "," ","bcatenin"," ","TSC2","PI3K","JNK"
"550"," "," ","TCF"," ","Raf","mTORC2","IGF"
"551"," "," ","FoxO"," ","ERK"," ","IRS"
"552"," "," ","Rho"," "," "," ","mTORC1"
"553"," "," ","Rac"," "," "," ","S6K"
"554"," "," ","MEKK1"," "," "," ","Ras"
"555"," "," ","JNK"," "," "," "," "
"556"," "," ","PKC"," "," "," "," "
"557"," "," ","IGF"," "," "," "," "
"558"," "," ","IRS"," "," "," "," "
"559"," "," ","PI3K"," "," "," "," "
"560"," "," ","Akt"," "," "," "," "
"561"," "," ","TSC2"," "," "," "," "
"562"," "," ","mTORC1"," "," "," "," "
"563"," "," ","S6K"," "," "," "," "
"564"," "," ","Ras"," "," "," "," "
"565"," "," ","Raf"," "," "," "," "
"566"," "," ","ERK"," "," "," "," "
"567"," "," ","mTORC2"," "," "," "," "
"568"," "," "," "," "," "," "," "
"569","Sridharan2012","ROS","Stress"," ","Ras","ROS","Stress"
"570"," "," ","Ras"," ","PTEN","p53","Bach1"
"571"," "," ","PTEN"," ","ATM","Mdm2","PKC"
"572"," "," ","ATM"," ","PIP3","Bad","GSK3b"
"573"," "," ","Bach1"," ","PI3K","ARE","Bcl2"
"574"," "," ","PKC"," ","PIP2","Nrf2","Keap1"
"575"," "," ","PIP3"," ","Akt"," "," "
"576"," "," ","PI3K"," "," "," "," "
"577"," "," ","PIP2"," "," "," "," "
"578"," "," ","Akt"," "," "," "," "
"579"," "," ","GSK3b"," "," "," "," "
"580"," "," ","p53"," "," "," "," "
"581"," "," ","Mdm2"," "," "," "," "
"582"," "," ","Bad"," "," "," "," "
"583"," "," ","Bcl2"," "," "," "," "
"584"," "," ","Keap1"," "," "," "," "
"585"," "," ","ARE"," "," "," "," "
"586"," "," ","Nrf2"," "," "," "," "
"587"," "," "," "," "," "," "," "
"588","Sun2014"," ","pmar1"," ","pmar1","hesC","gcm"
"589"," "," ","hesC"," ","delta","ets1","hox11_13b"
"590"," "," ","delta"," ","aNotch","alx1"," "
"591"," "," ","ets1"," "," "," "," "
"592"," "," ","alx1"," "," "," "," "
"593"," "," ","gcm"," "," "," "," "
"594"," "," ","aNotch"," "," "," "," "
"595"," "," ","hox11_13b"," "," "," "," "
"596"," "," "," "," "," "," "," "
"597","Thakar2012","Bb","NE"," ","DCI","IgG","NE"
"598"," "," ","DP"," ","Th2II","BC","DP"
"599"," "," ","IL12I"," ","IL4I","IFNgI","IL12I"
"600"," "," ","IgG"," ","Th1II","IFNgII","Th1I"
"601"," "," ","Th1I"," ","PH","MPI","Oag"
"602"," "," ","BC"," ","PIC","IL12II","TTSSII"
"603"," "," ","DCI"," ","IL10I","T0","Th2I"
"604"," "," ","Oag"," ","DCII","IL4II","IL10II"
"605"," "," ","IFNgI"," ","TrII","AP","AgAb"
"606"," "," ","TTSSII"," ","TrI","Bb","IgA"
"607"," "," ","IFNgII"," ","TTSSI"," ","EC"
"608"," "," ","MPI"," "," "," ","C"
"609"," "," ","Th2II"," "," "," "," "
"610"," "," ","Th2I"," "," "," "," "
"611"," "," ","IL4I"," "," "," "," "
"612"," "," ","IL12II"," "," "," "," "
"613"," "," ","IL10II"," "," "," "," "
"614"," "," ","Th1II"," "," "," "," "
"615"," "," ","AgAb"," "," "," "," "
"616"," "," ","PH"," "," "," "," "
"617"," "," ","T0"," "," "," "," "
"618"," "," ","PIC"," "," "," "," "
"619"," "," ","IL10I"," "," "," "," "
"620"," "," ","IL4II"," "," "," "," "
"621"," "," ","DCII"," "," "," "," "
"622"," "," ","TrII"," "," "," "," "
"623"," "," ","AP"," "," "," "," "
"624"," "," ","IgA"," "," "," "," "
"625"," "," ","TrI"," "," "," "," "
"626"," "," ","TTSSI"," "," "," "," "
"627"," "," ","EC"," "," "," "," "
"628"," "," ","C"," "," "," "," "
"629"," "," "," "," "," "," "," "
"630","Todd2012","Clb2","SpindleCP"," ","SMBF","FEAR","SpindleCP"
"631"," "," ","Size"," ","Yhp1","Cln2","Size"
"632"," "," ","BuddingCP"," ","Whi5","Cln3","BuddingCP"
"633"," "," ","Start"," "," ","Cdc20","Start"
"634"," "," ","SMBF"," "," ","MEN","Sic1"
"635"," "," ","Sic1"," "," ","Clb2","Clb5"
"636"," "," ","Clb5"," "," ","Cdc14","Swe1"
"637"," "," ","Yhp1"," "," "," ","SFF"
"638"," "," ","FEAR"," "," "," ","Swi5"
"639"," "," ","Cln2"," "," "," ","Cdh1"
"640"," "," ","Whi5"," "," "," "," "
"641"," "," ","Swe1"," "," "," "," "
"642"," "," ","Cln3"," "," "," "," "
"643"," "," ","Cdc20"," "," "," "," "
"644"," "," ","MEN"," "," "," "," "
"645"," "," ","SFF"," "," "," "," "
"646"," "," ","Swi5"," "," "," "," "
"647"," "," ","Cdh1"," "," "," "," "
"648"," "," ","Cdc14"," "," "," "," "
"649"," "," "," "," "," "," "," "
"650","Yousefi2013"," ","WNT5A"," ","S100P","WNT5A","pirin"
"651"," "," ","pirin"," "," ","RET1","MART1"
"652"," "," ","S100P"," "," ","MMP3","HADHB"
"653"," "," ","RET1"," "," ","PHOC"," "
"654"," "," ","MMP3"," "," ","synuclein"," "
"655"," "," ","PHOC"," "," ","STC2"," "
"656"," "," ","MART1"," "," "," "," "
"657"," "," ","HADHB"," "," "," "," "
"658"," "," ","synuclein"," "," "," "," "
"659"," "," ","STC2"," "," "," "," "
"660"," "," "," "," "," "," "," "
