"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"123"," "," ","AP1"," ","LFY","AP1","FUL"
"124"," "," ","AP2"," ","SEP","AP2","PI"
"125"," "," ","AP3"," ","TFL1","AP3","WUS"
"126"," "," ","EMF1"," "," "," ","UFO"
"127"," "," ","FT"," "," "," "," "
"128"," "," ","FUL"," "," "," "," "
"129"," "," ","LFY"," "," "," "," "
"130"," "," ","PI"," "," "," "," "
"131"," "," ","SEP"," "," "," "," "
"132"," "," ","TFL1"," "," "," "," "
"133"," "," ","WUS"," "," "," "," "
"134"," "," ","UFO"," "," "," "," "
"135"," "," "," "," "," "," "," "
"136","Enciso2016"," ","BcateninH"," ","FoxO3aH","CXCR4H","BcateninH"
"137"," "," ","CXCR4H"," ","GSK3BH","NfkBH","CXCR7H"
"138"," "," ","CXCR7H"," ","CXCL12M","PI3KAktH","ERKH"
"139"," "," ","ERKH"," ","ROSM","BcateninM","Gfi1H"
"140"," "," ","FoxO3aH"," ","PI3KAktM","FoxO3aM","ROSH"
"141"," "," ","Gfi1H"," ","IL1","NfkBM","TLRH"
"142"," "," ","GSK3BH"," ","GCSF","VCAM1M","VLA4H"
"143"," "," ","NfkBH"," "," "," ","Cx43M"
"144"," "," ","PI3KAktH"," "," "," ","ERKM"
"145"," "," ","ROSH"," "," "," ","GSK3BM"
"146"," "," ","TLRH"," "," "," ","TLRM"
"147"," "," ","VLA4H"," "," "," ","lTLR"
"148"," "," ","Cx43M"," "," "," "," "
"149"," "," ","BcateninM"," "," "," "," "
"150"," "," ","CXCL12M"," "," "," "," "
"151"," "," ","ERKM"," "," "," "," "
"152"," "," ","FoxO3aM"," "," "," "," "
"153"," "," ","GSK3BM"," "," "," "," "
"154"," "," ","NfkBM"," "," "," "," "
"155"," "," ","ROSM"," "," "," "," "
"156"," "," ","PI3KAktM"," "," "," "," "
"157"," "," ","TLRM"," "," "," "," "
"158"," "," ","VCAM1M"," "," "," "," "
"159"," "," ","lTLR"," "," "," "," "
"160"," "," ","IL1"," "," "," "," "
"161"," "," ","GCSF"," "," "," "," "
"162"," "," "," "," "," "," "," "
"163","Faure2006"," ","CycD"," ","Cdc20","Rb","CycD"
"164"," "," ","Rb"," ","Cdh1","E2F","CycE"
"165"," "," ","E2F"," ","CycB","p27","CycA"
"166"," "," ","CycE"," "," "," ","UbcH10"
"167"," "," ","CycA"," "," "," "," "
"168"," "," ","p27"," "," "," "," "
"169"," "," ","Cdc20"," "," "," "," "
"170"," "," ","Cdh1"," "," "," "," "
"171"," "," ","UbcH10"," "," "," "," "
"172"," "," ","CycB"," "," "," "," "
"173"," "," "," "," "," "," "," "
"174","Garcia-Gomez2017_ARF10groesserARF5","SHR","CK"," ","AUXIAA","CK","ARF10"
"175"," "," ","ARR1"," ","ARF","ARR1","ARF5"
"176"," "," ","SHY2"," ","AUX","SHY2","SCR"
"177"," "," ","AUXIAA"," ","MIR166","SHR","MGP"
"178"," "," ","ARF"," ","PHB","JKD","CLE40"
"179"," "," ","ARF10"," "," ","WOX5"," "
"180"," "," ","ARF5"," "," "," "," "
"181"," "," ","AUX"," "," "," "," "
"182"," "," ","SCR"," "," "," "," "
"183"," "," ","MIR166"," "," "," "," "
"184"," "," ","PHB"," "," "," "," "
"185"," "," ","JKD"," "," "," "," "
"186"," "," ","MGP"," "," "," "," "
"187"," "," ","WOX5"," "," "," "," "
"188"," "," ","CLE40"," "," "," "," "
"189"," "," "," "," "," "," "," "
"190","Giacomantonio2010"," ","Fgf8"," ","Sp8","Fgf8","Pax6"
"191"," "," ","Emx2"," "," ","Emx2"," "
"192"," "," ","Pax6"," "," ","Coup_tfi"," "
"193"," "," ","Sp8"," "," "," "," "
"194"," "," ","Coup_tfi"," "," "," "," "
"195"," "," "," "," "," "," "," "
"196","Gupta2007"," ","tyrosinehydroxylase"," ","dopaminereceptor2","dopamine","tyrosinehydroxylase"
"197"," "," ","dopamine"," ","adenylatecyclase","dopaminereceptor1","COMT"
"198"," "," ","COMT"," ","packagingproteins","proteinkinaseA","phospholipaseC"
"199"," "," ","dopaminereceptor1"," "," ","Calcium","Calcineurin"
"200"," "," ","dopaminereceptor2"," "," ","DARPP32","proteinphosphatase1"
"201"," "," ","adenylatecyclase"," "," ","glutamatereceptor","glutamate"
"202"," "," ","proteinkinaseA"," "," "," ","exocytosis"
"203"," "," ","phospholipaseC"," "," "," "," "
"204"," "," ","Calcium"," "," "," "," "
"205"," "," ","Calcineurin"," "," "," "," "
