"","p27","CDK4","CycE1","CycD1","cMYC","IGF1R","Akt1","MEK1","ERa","CDK2","p21"
"1",0,1,0,0,0,0,0,0,0,1,0
"2",1,0,0,0,0,0,0,0,0,0,1
"3",0,0,0,0,0,0,0,0,0,1,0
"4",0,1,0,0,0,0,0,0,0,0,0
"5",1,0,1,1,0,0,0,0,0,0,1
"6",0,0,0,0,0,0,1,1,0,0,0
"7",1,0,0,1,1,1,0,0,1,0,1
"8",0,0,0,1,1,0,0,0,1,0,0
"9",1,0,0,1,1,1,0,0,0,0,1
"10",1,0,0,0,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0,1,0
